Float_0,Integer_1,Float_2,Float_3,String_4,Integer_5,Integer_6,FILE_IMG_7
37.575944485,2,63.3801773727,17.4506407832,,55,NaN,img/img7.png
81.4465595063,30,,91.6500587293,DEFdIQd,90,0,img/img7.png
82.4989530441,,29.3301787341,NaN,ghgHCTC,0,NaN,img/img7.png
13.2928737523,45,46.6363127704,20.1926169447,YesPqZs,61,12,img/img14.png
73.2467732237,93,59.8025644719,70.6276172983,pfnZfxb,51,6,img/img3.png
NaN,98,94.0112339559,31.4020834355,iaFQtlB,73,65,img/img15.png
74.9362924571,26,72.9038310797,NaN,ogNLhfu,NaN,27,img/img11.png
32.9345492221,,35.7471707544,NaN,FZBIkxQ,7,57,img/img3.png
82.9691271746,33,52.5240370743,,ndYwUCS,93,59,img/img8.png
42.3652961309,,10.8269010001,62.0655516518,CwvNHBw,7,3,img/img8.png
54.0428565218,37,42.4313230324,33.2626188162,cfTduam,15,91,img/img13.png
93.358043674,41,82.5684712841,46.0259365399,rksonTv,77,NaN,
34.2479880812,74,97.1892618985,3.74595165811,,58,96,img/img16.png
NaN,99,NaN,,YUTUeCv,52,NaN,img/img6.png
52.4584780737,43,96.2927512965,79.5792181855,mpmoZTl,10,12,img/img13.png
81.4702494692,21,NaN,10.0339506334,wXBOELd,11,99,img/img3.png
38.9210245816,63,NaN,45.1869335957,jrGfTXr,NaN,27,
33.2780103528,95,92.0561474154,NaN,hXmngqu,NaN,,img/img10.png
59.1035309534,74,NaN,98.9128076472,GAwXdQj,83,19,
74.4845499452,46,73.1315992244,46.8544540817,ZefvXhv,56,35,img/img8.png
47.3066545815,55,13.2196038252,,JaaJIwQ,75,15,img/img10.png
18.6652808289,,60.0779276322,71.4661872732,,2,76,img/img2.png
56.6200244991,,82.2872875764,17.7521087741,ZhjEYke,71,28,img/img10.png
76.5308068308,0,2.72452610403,73.569298173,ekpVebu,81,NaN,img/img7.png
39.660790217,84,NaN,95.8210945366,mWbYqYQ,67,NaN,img/img13.png
2.9444131925,91,67.5320342098,84.7937927444,VEspRgd,57,38,img/img8.png
13.8007700038,100,79.2031621519,89.6673903593,MBBklPI,6,63,img/img14.png
98.168748859,12,62.1132394307,72.907406897,NpNurWA,43,18,img/img4.png
92.1367646029,63,,56.3107523154,vmFnTDO,98,74,img/img4.png
39.4228074002,87,19.8137830265,50.8821420416,fJQDBIr,24,53,img/img15.png
28.6001518069,4,51.8032255373,4.92360699708,kWbKIxe,51,98,img/img5.png
NaN,80,34.2435543173,NaN,MqickyW,18,10,img/img7.png
83.78140657,2,31.3325975127,23.9542904929,CAXaOOE,18,26,img/img3.png
18.8041151332,,23.9227763237,48.6068803512,,83,72,img/img2.png
68.5553654671,84,NaN,75.3943416803,VOpDODf,5,99,img/img2.png
42.2474981044,98,36.2561544684,33.6719905024,UYWHJiY,99,76,img/img13.png
33.710421467,11,44.2902289515,23.9169115775,AkWhqqB,85,,
8.57599220255,49,48.7861354298,27.6999380363,,93,,img/img13.png
58.9644736816,55,94.4782370742,57.943255859,lcCaoLL,16,75,img/img4.png
35.8395378306,39,98.8078887001,45.3498952138,lHrpkIT,88,77,
19.2023911809,8,56.2524164252,63.062812385,vowdJdE,NaN,92,img/img11.png
39.2752625529,,33.2216435183,,mNTZNoc,40,63,img/img15.png
59.7983013555,72,13.7402384722,74.9472606355,MAQfkhM,46,NaN,img/img6.png
,26,93.9803289223,77.5788906139,hvGqTIv,78,12,img/img5.png
15.7292939217,24,58.637804059,9.30069244672,joQxKXx,77,35,img/img7.png
,77,92.0260638956,40.1398184298,doVuAkd,5,21,img/img5.png
42.8115817174,70,65.7429820544,58.7858890503,,,22,img/img3.png
62.3082097086,31,8.86974225976,NaN,NKTuzEc,50,99,img/img7.png
,8,92.6945703931,37.3612854515,dZuVcoc,83,86,
71.7341107531,53,99.8244248582,NaN,kmczfAC,20,94,img/img2.png
77.4394724141,NaN,52.0551567509,4.67860817997,gjRAMDG,53,71,img/img3.png
54.5164950169,23,98.2249404679,82.4983447656,BKrpjVV,,31,
,80,47.4784976351,55.106073447,wpdqNZq,,35,img/img12.png
14.8392106414,94,43.351794136,,WsjqPEd,58,60,img/img14.png
24.1617682168,,,32.2295816036,xIbcOBF,66,62,img/img3.png
22.3894009766,18,43.337846196,87.480070751,yDIhemt,0,82,img/img9.png
42.8496548185,39,29.666646074,19.376787889,EfuffAY,3,40,img/img5.png
43.9404272955,52,9.65981151034,54.0241505997,GsTKbtv,NaN,10,img/img13.png
15.7635942864,6,44.1186327878,12.3222899023,LkwxMZc,,65,img/img1.png
30.0797297405,58,12.9474627619,4.83737603071,PSdQogt,77,28,img/img8.png
27.0304198491,66,17.2518774698,28.3707454435,TMCbNcK,68,9,img/img7.png
32.4411852985,36,0.671857720987,50.1923238467,oHbamur,0,49,img/img15.png
6.29492570756,,41.3526576629,0.381541121686,NemYUVd,12,26,img/img7.png
,51,90.8207038842,35.0418712517,lfRbJRl,84,,img/img1.png
77.8274261718,8,,86.0977720263,zubCFzn,0,40,img/img16.png
17.4539458743,29,6.53524466496,,PqpsXjJ,,84,img/img15.png
85.1326399747,55,98.8484441858,54.7392594893,TBFXsOO,24,21,img/img10.png
70.3731831904,29,84.6130371842,26.3620760753,,69,17,img/img7.png
92.9994953537,15,43.1373771915,23.5059290508,QovGUoP,80,2,img/img9.png
34.0991079633,38,67.9918597537,NaN,pJimyVL,7,18,img/img11.png
,94,61.5280542054,64.2003778304,ZmSiarW,19,46,img/img10.png
64.1299504745,49,78.3202666102,28.1907056358,syrLrMj,24,24,img/img9.png
35.8002404802,,65.2993833124,4.9790867216,BUkNrcO,91,71,img/img3.png
6.381129685,20,,18.0045522809,rLmCFbU,0,69,
73.9940434373,27,40.2587646121,30.5508332522,HAYFaJU,42,29,img/img3.png
88.6452650537,18,20.207417333,NaN,VkCLxlm,1,12,img/img4.png
,68,78.9916508106,66.8645679648,bXLtpYU,11,,img/img4.png
39.789332888,14,,35.3272680574,DDXwpSM,24,1,img/img16.png
18.9564658639,20,6.01415050273,96.4942556684,zmyprjX,1,13,img/img8.png
79.2808033853,38,10.162147407,63.3954366769,UJJsfQX,36,47,img/img8.png
65.7848637751,3,41.8932739745,19.2903061797,BWFaWKs,10,44,img/img2.png
80.9807188517,86,71.8701444597,74.7065416545,,61,78,img/img9.png
82.2250657004,83,80.0414428319,52.7613116559,cGlWWks,16,67,img/img9.png
92.0261803437,27,61.8967712237,72.0431755167,Umojdfx,88,53,img/img16.png
95.040427942,NaN,,37.2119394688,dednpFy,17,87,img/img15.png
85.3111252591,9,40.4203256493,52.0553300246,EKxmZsz,6,NaN,img/img4.png
,73,58.6071792156,23.6216331991,HowjUeA,29,49,img/img2.png
32.5073849044,,93.3012294706,,RDUznEo,94,44,img/img14.png
12.8945041561,88,85.1117933186,57.9884221004,NmfkVbU,86,44,img/img16.png
8.8391404748,86,,,shCNKGW,30,60,img/img9.png
37.3077380996,7,5.59808760952,23.0153416498,XCKAMTl,25,,img/img4.png
48.4221943492,18,,37.4747914607,lnhApDG,,25,img/img3.png
10.0503014661,,14.2043721378,59.8796670309,XfwJWEj,69,,img/img11.png
NaN,89,85.1684053096,44.3547696246,hNGEIvv,19,3,img/img3.png
28.3743557452,52,77.2773498599,NaN,gDsHFun,18,61,img/img15.png
87.2665246488,40,92.3981812223,30.6621101408,GnrfZVf,,40,img/img14.png
81.1935751768,63,50.6519482485,69.5482244713,dehrmOQ,19,45,img/img10.png
56.3998599027,17,45.2132662645,33.5611019267,,75,51,img/img5.png
56.5881181254,47,73.5429091998,39.9955755168,gRcfgBy,16,12,img/img11.png
83.182990243,,32.066116156,87.4268657188,dupHyZa,49,NaN,img/img2.png
65.8856186164,93,71.6368907392,15.9073593783,JqaHpBp,20,98,img/img15.png
NaN,76,11.8500782499,48.9545691758,YirZZOL,98,45,img/img12.png
39.3891189648,80,92.2904198998,59.1531305124,PuGFCrA,NaN,9,img/img13.png
72.8562756325,73,56.1607922547,72.8981612726,nyOqKMW,22,50,img/img4.png
56.0543147927,71,10.3862688491,63.4468113003,hrTJYJN,45,86,img/img14.png
96.9482203013,33,89.4223565058,NaN,xnTRSre,58,78,img/img11.png
72.9902999369,26,38.4799187686,71.8839000828,fzxGVMZ,93,54,img/img16.png
74.5148969124,,35.1546623974,76.467913373,UaoWwGc,79,60,img/img4.png
11.4184174769,67,72.5211086709,1.99967641115,HucJVJF,48,97,img/img13.png
,41,,80.8233466183,dQacbFB,9,34,img/img3.png
4.10876425568,83,56.1792402317,26.8117990442,UfYNOjt,34,6,img/img16.png
64.547629624,20,29.1720860534,18.1138998185,rWcKwsv,20,48,img/img11.png
,99,32.5633056913,87.1748503592,jkrfGZL,30,59,img/img5.png
82.9788766533,36,61.6869694337,94.2929532984,dHgVjbN,99,86,img/img12.png
80.5642544416,87,98.8557520465,32.1358293826,cOzeyTz,38,NaN,img/img16.png
29.4705506781,53,67.2273913631,2.70086751364,UkTyOXV,71,83,img/img2.png
63.3089402939,14,2.59080624165,87.0276067862,BtNstGK,2,33,img/img9.png
14.4145393234,88,92.3321969912,43.391824992,UrSTAdM,94,67,img/img15.png
21.6930929395,1,NaN,62.7654022852,vKtHuwQ,62,78,img/img9.png
33.237590105,45,74.9909529688,62.9263501055,,2,79,img/img9.png
39.9125361233,63,55.8120310001,81.2733443452,afZbGUd,NaN,65,img/img2.png
71.5277314205,40,90.9904625034,NaN,cyVHOBT,27,NaN,img/img13.png
24.5909234607,94,41.2812278945,4.76291336106,lcNmVTm,8,94,img/img13.png
79.9026134272,90,32.0802582906,,CJZVYKx,94,31,img/img1.png
34.3587038472,80,4.05365004227,NaN,UhzrfTm,37,33,img/img6.png
12.5208883055,37,,44.9294166001,clKXSRE,36,63,img/img16.png
,39,55.6695648279,6.52542454513,pnlsQrm,38,63,img/img11.png
,89,84.363390635,83.686967577,CDMzsAZ,20,57,img/img5.png
77.5811880462,90,37.3873096779,8.84607377188,,70,71,img/img1.png
2.06928589634,43,86.867144954,11.1904017892,csQLnyg,100,81,img/img12.png
,50,97.2293690699,58.0501664512,gJzNZrx,62,52,img/img8.png
17.2958249161,70,79.5881326982,3.67288301773,,66,40,
99.1687277735,,46.9954103532,43.7083990059,IEVUtrn,12,88,img/img3.png
82.0781349964,19,72.1613645523,,KNGzEKq,22,68,img/img10.png
55.7214213034,64,18.7012522641,88.0876198017,kxhnzwz,7,NaN,img/img13.png
80.3095652564,90,71.7887231692,2.27965837245,IafqvgB,43,19,img/img6.png
NaN,16,57.2108238004,32.3680969574,EGGEvzX,26,88,img/img15.png
35.3030048837,97,3.37608629905,94.248055938,BPTUxGq,46,56,img/img9.png
,81,21.6816401576,46.8837839446,VYvmuBq,49,36,img/img7.png
50.0131380263,45,60.1610653481,80.6313412644,EenqXpo,28,16,img/img13.png
4.32565236332,45,NaN,23.3984397018,bSJVwtr,23,12,img/img10.png
21.2860608592,85,67.7759369515,68.2717028821,QelGzdw,12,,img/img3.png
84.1631612929,48,65.7054779224,38.1291887338,ypSCxpY,44,NaN,img/img11.png
26.0011347289,62,NaN,5.63285692491,kfOzgfw,59,8,img/img14.png
24.0505502244,1,6.66659325191,NaN,bUtKujX,78,76,img/img6.png
39.7303164183,10,18.5115968346,6.24917233802,GRbQtZZ,41,85,img/img13.png
99.5749810903,NaN,74.2908314802,65.4015918022,oLwDfSx,52,,img/img5.png
75.003584391,51,,NaN,vvJhTza,10,13,img/img9.png
45.8562302393,41,74.5905433948,67.5261293799,VZYCrVR,17,40,img/img3.png
42.8410868596,8,99.1840494581,NaN,IAsQKKX,84,32,img/img16.png
51.0206400609,28,46.6836522088,55.2650809621,Omxcmzl,30,1,
12.4751047826,76,78.7375255654,40.0319518683,BEZdsMN,,46,
24.8376367127,97,,NaN,zBsWplX,,96,img/img13.png
16.8136533598,55,45.7174762876,28.6838407558,yPWaHDJ,25,49,img/img10.png
76.9603279078,93,83.5425323072,73.0749833877,IYDDUTe,83,30,img/img7.png
61.5297348014,NaN,48.2967685248,30.1007753085,BRcngeF,74,14,img/img11.png
NaN,100,71.810958119,31.7618023592,RsHnLBt,88,79,img/img16.png
23.3081910253,59,83.9961585896,,nrEDegT,15,95,img/img15.png
40.0980737122,24,48.7562410897,26.0959316206,jhlYZFt,39,79,img/img1.png
75.2914987945,55,44.4063500631,32.2924938509,AoNgsZr,68,17,img/img14.png
NaN,23,17.5569187616,36.5128933996,kREddyY,0,60,img/img6.png
,51,17.5603260809,58.3205551232,QUywMcx,NaN,7,img/img4.png
52.4960359323,8,50.1240044796,61.9652410744,qBtzOrQ,67,54,img/img3.png
71.632291129,7,NaN,NaN,rGyenru,7,57,img/img2.png
6.99253993893,58,,,paQcmFI,41,45,img/img9.png
NaN,75,87.4105086481,70.0053063193,NJIpaVy,13,58,img/img15.png
90.3565659323,100,3.50321247265,10.5322377586,DdywXBf,15,,
39.3731071305,7,62.0671196667,97.7702717099,jDcHgRd,,1,img/img12.png
52.7663079213,69,2.60498122007,74.959745557,ZMaOfeP,6,40,img/img13.png
77.1941077302,44,13.2561636124,91.631878155,PpOUOus,,98,img/img5.png
NaN,99,56.6973571706,64.2930719851,gSrFOZU,100,74,img/img13.png
15.3196371046,52,9.44031065128,63.236608635,DlrzMhC,84,98,img/img10.png
29.5922398721,37,20.6336423536,66.6417036991,SFXQGzP,NaN,77,img/img6.png
97.777408496,49,,92.4888868001,bCICYCF,55,65,img/img1.png
74.4900199523,66,12.4958695919,NaN,VeeYMwa,98,,img/img14.png
15.2105637631,32,82.9887092408,17.348692174,GCwKRZo,31,41,img/img7.png
71.8872275733,NaN,90.6482590827,92.391036937,CJEeHPe,97,34,img/img12.png
47.9025804592,96,33.5060392313,7.71597321562,OIDBPrs,0,19,img/img3.png
18.9952237521,52,23.0813160246,39.1904647162,aRnZcaP,58,51,img/img2.png
59.2713279441,36,24.9627899556,90.1037136508,XXxvXhO,30,83,img/img4.png
50.4551687659,74,50.4893174067,96.7290349964,GJWzygq,57,95,img/img11.png
13.4933627801,82,41.0108283897,NaN,KcxpBru,NaN,45,img/img13.png
52.732220057,18,90.8128157064,47.2693973314,ouYSJZm,59,38,img/img11.png
10.373539142,59,30.9108342236,69.9309769027,HxeDCLh,85,35,img/img6.png
26.3871111191,24,2.2034185225,95.4936786177,TCDIrfW,90,,img/img7.png
5.98775253088,68,,1.68117183955,GUAOvLZ,1,45,img/img5.png
,38,93.1243157419,,,14,16,img/img13.png
91.2335440047,58,91.697598928,,oKkRVUr,38,17,img/img3.png
72.2409549958,55,5.79915652996,20.8704860792,QvwWiPg,46,80,img/img8.png
28.3493662639,40,,97.7863913419,fhQTUTC,11,32,img/img4.png
40.6712570082,1,60.8902153019,NaN,HspLSqQ,NaN,99,img/img4.png
98.235914039,15,0.595416466392,72.1465183391,zhYiZij,NaN,,img/img9.png
1.86508545278,53,63.0361265125,50.6086810439,DEnhfDU,86,83,img/img6.png
90.2763480333,,13.5595543608,64.2321090848,uIzNjff,91,NaN,
25.2996381937,83,82.7227558278,18.3356291533,nchgYJY,81,46,img/img9.png
63.4020216825,NaN,19.6189338816,,WRXRIoN,16,1,img/img12.png
19.2256658748,4,13.3450812185,19.165331603,MUUstYb,30,15,img/img6.png
4.46168313539,NaN,38.9351605246,12.9368004542,,14,2,img/img5.png
86.0047933675,70,94.8207671621,36.4217742091,TwFVpgo,97,54,img/img16.png
67.0646768227,80,73.8871776418,30.7006314481,GyNuJEi,32,10,img/img6.png
6.37311182868,82,9.34727826113,28.4824927265,HancsyB,12,43,img/img5.png
8.03751685156,11,93.0207153405,47.8745717496,stOEqiv,90,NaN,img/img3.png
38.1731941234,,4.23497349097,7.73428092706,,9,4,img/img5.png
41.0412875335,42,75.026622392,62.3030541426,BrcSEkH,73,46,img/img1.png
NaN,32,54.2237116105,55.3555852446,,74,91,img/img1.png
99.1989808409,67,66.4683222388,17.9095489085,,57,9,img/img3.png
15.3026696671,13,38.9493361985,98.8182447258,XeyqFwq,92,60,img/img3.png
37.7140764045,1,51.9459357359,43.736180975,TzkoLji,18,37,img/img14.png
27.1846360071,,9.94339793379,62.0974168666,IRAGazC,93,99,img/img7.png
52.8593007399,94,10.7159304784,2.87237695879,SNyUDTG,31,30,img/img2.png
NaN,90,21.0237665292,88.8728519465,NxVTBnw,24,NaN,img/img2.png
48.1239833628,31,9.22342417325,59.3656069379,MudqkDO,51,28,img/img7.png
79.7747195588,49,57.2269304061,81.4532410562,CQevbkz,55,86,img/img10.png
4.88151365697,36,22.17710592,14.7270392044,PrzsBGA,60,35,img/img16.png
37.3020075143,,22.5696277175,46.8948552416,TMIPCoJ,NaN,76,img/img6.png
89.4700552725,73,64.7041336446,,FfIwkWr,3,87,img/img5.png
94.8546500229,2,91.668693347,62.1223698651,frIIOSS,56,65,img/img13.png
80.3179792318,17,13.3940187011,48.9929217397,YVIPcqB,62,29,img/img15.png
2.43369955216,79,53.4239840411,45.2103866507,roJWFPQ,83,63,img/img11.png
98.3404077487,NaN,58.4851638915,NaN,mZreFVx,36,61,img/img6.png
46.6962524905,61,98.321718622,28.376735452,CRtWFBJ,79,79,img/img3.png
65.8387595356,96,6.17982106797,44.0383312161,,88,61,img/img6.png
8.15538588722,75,85.407444381,,TmmwytA,33,30,img/img8.png
91.396943704,,44.0415575453,77.3432379782,ZfVAhNA,74,78,img/img6.png
NaN,94,36.185070914,79.824580311,VCesskD,60,76,img/img13.png
77.0730211713,80,,22.2502353546,JYlRbya,59,12,img/img1.png
61.6084648742,3,77.3387681909,13.4372589792,VbXuTuz,16,54,img/img9.png
19.3143864637,15,54.6499584391,67.9593897781,FGiJLiK,63,56,img/img10.png
24.512618817,29,11.3424392814,91.363130879,oGdBWGA,,62,img/img13.png
98.1586761289,76,0.840569563378,0.482423326159,UdLkuOQ,29,95,img/img7.png
87.9573683563,14,27.4670324433,21.4410452841,HysMvBu,89,50,img/img5.png
63.7712287856,20,66.8403396129,55.7774059083,fFSMIJH,52,NaN,img/img10.png
55.2168063193,92,59.7524248643,18.4701411926,xTNoKqt,60,19,img/img5.png
39.2721993904,1,51.8672415563,96.8752141984,IEvHVHn,72,19,img/img11.png
77.660050568,18,,28.6777807388,jmYlmSK,4,11,img/img13.png
63.7872727769,34,75.9749281543,71.9826345314,SlNKzgq,54,7,img/img3.png
NaN,92,45.7869593269,,aTubZvX,9,52,img/img16.png
NaN,51,55.6251860567,14.1706676275,hCOXRRP,NaN,60,img/img10.png
50.3838981223,23,,76.6740472882,aiUguOE,21,72,img/img15.png
98.2323319645,76,49.1344177953,1.65604135582,jEABQgC,20,32,img/img6.png
,7,87.2925535391,18.6740692834,,77,13,img/img6.png
80.8992570032,22,NaN,85.0640000889,ITQYkoj,60,0,img/img8.png
73.8664744126,63,60.2777855085,30.8080296774,hZVDmZr,63,57,img/img4.png
23.0815659172,NaN,40.4484573834,25.4482790053,gmpyFQb,53,25,img/img1.png
16.7371791757,14,30.3524225798,92.430356553,GqIVsUD,39,2,img/img2.png
97.5575135288,98,NaN,98.1853344333,aQZrxUo,3,,img/img15.png
65.6676941631,,0.815918903822,38.5768863559,bWFkazu,59,28,
97.5305552348,74,98.5644133998,23.3686045929,scIZUYD,13,33,img/img14.png
79.3439851853,92,91.087199529,23.3797553477,zfDgyrI,61,67,img/img2.png
11.9794252704,49,64.4694246457,27.3159010766,mBtoDgz,0,48,img/img3.png
80.1783798132,75,60.5381797879,21.5080182695,qhPjRfy,65,3,
45.4510041724,71,98.6383867966,65.5762794528,AuEayKh,67,56,img/img1.png
71.7034676024,29,63.2302368616,NaN,Ikcfnsz,69,,img/img12.png
5.22063022763,84,51.8801756169,64.2111480277,rWTiNln,19,79,img/img16.png
43.9759097612,12,,13.6312930165,nybefJL,88,7,img/img4.png
26.5281289722,99,63.2754200168,,kTlSTBf,85,,
4.64830443754,62,40.0527406384,46.0410531732,uQBDrqI,48,22,img/img9.png
62.2613076526,41,98.8283607978,41.8174067201,rnMXSlZ,97,81,img/img5.png
79.9529876289,73,92.9776966117,42.6319491368,TlmNJMR,24,,img/img2.png
69.0240402189,42,65.8965314147,47.1858205429,AgeifGs,95,4,img/img11.png
98.3108713432,73,66.7281295467,NaN,dwnKVIh,,1,img/img10.png
7.58409585283,NaN,19.9757694494,24.5533801566,KNVSEns,81,NaN,img/img11.png
NaN,74,NaN,54.831974681,LGjRGdU,6,32,img/img10.png
72.6172692752,41,6.06778182882,7.56305804232,ZuMQqAV,87,53,img/img11.png
78.8053101703,16,73.5295673665,49.6931266364,ptnNWdj,3,NaN,img/img9.png
86.9113100116,20,NaN,46.0457916132,jqBdIJg,29,24,img/img8.png
75.9381939722,34,63.197931202,92.0005305399,IfJkYxH,35,50,img/img10.png
32.9296538869,15,59.6974610645,61.8752487222,jvmlyYI,45,,img/img15.png
71.4118308243,66,94.952240269,21.0523251769,xHtyHTp,56,26,img/img3.png
69.3030584412,81,65.978182386,70.8868028586,,,7,img/img14.png
10.1018833949,NaN,52.643024802,5.93096610207,cVUpzie,17,61,img/img16.png
76.0906295845,18,53.7437702693,94.8741497163,KvjkdQB,21,80,img/img12.png
29.7952442955,85,39.6459789078,18.1802359462,,16,8,img/img13.png
67.0109594577,8,NaN,82.399079082,ETiPywd,74,30,img/img4.png
1.92085039514,,57.672469689,6.02281239532,LPesNvV,40,14,img/img3.png
57.4812727047,NaN,51.2328154722,71.1303238576,jNHCUyM,76,,img/img9.png
53.7981129591,57,54.1681066942,1.49706940637,bRCWsMl,44,32,img/img5.png
,85,78.5187992075,,RSQmhrD,92,28,img/img6.png
29.021599295,90,NaN,NaN,zZxDMUq,75,62,img/img9.png
77.4356692067,36,47.0365349904,21.9468868272,vcNcUWt,80,65,img/img2.png
67.3044770927,83,32.6704557053,82.9165122543,ncEHhWo,48,25,img/img6.png
28.1735260914,81,76.677668883,92.0875853393,hqGtoqo,NaN,2,img/img7.png
71.9884725252,10,76.8540998285,54.8160598531,PtapKpi,14,7,img/img2.png
77.9356974412,50,67.9495741752,27.7394809331,ugjOIwv,92,NaN,img/img12.png
39.0220527888,15,41.221676716,87.5625787131,aOrPZOi,67,68,img/img11.png
45.8360216555,36,91.665866626,8.39005196324,RyesiZN,50,29,img/img4.png
65.8098666952,61,,11.1880821104,CjWgrEn,4,54,img/img4.png
65.3133934167,,21.7156045935,93.7384953686,JBzSdHJ,18,41,img/img12.png
93.0441584211,NaN,,64.5388988006,uXqrNeF,45,23,img/img16.png
33.6317681522,90,99.8733619233,72.0169828711,dSycKbK,86,56,img/img1.png
68.6004149847,86,21.2545255098,98.8430143155,cZbFovr,80,78,img/img16.png
92.3012864954,28,66.5197466108,15.3737646771,ESEIiIc,26,NaN,img/img1.png
,6,98.6145060023,14.6601703262,IhdfhiJ,57,80,img/img15.png
,82,92.6614662946,53.0191094044,xKmQMJR,93,22,img/img6.png
86.471405772,,81.0933738136,67.4356751514,pLuPBHu,49,86,img/img1.png
19.6577847969,85,64.5851389393,80.9963464239,hfSwSMd,65,,img/img1.png
93.3704666503,,75.9347073112,28.6278048221,tTEwEhd,NaN,73,img/img12.png
42.6795948013,NaN,61.3090306899,72.9090630748,DeEDqsZ,84,94,img/img6.png
NaN,82,NaN,42.4491395651,VrkEyml,31,74,img/img3.png
94.0855210719,51,97.6890099418,30.7047460994,nevdSxh,52,64,img/img7.png
17.9544050489,81,84.8163175397,22.1585671244,fqgjjYZ,83,19,img/img14.png
25.3021787823,51,81.4508856005,35.8598890883,MzTMzmB,6,20,img/img4.png
38.1777827627,90,91.9618969248,81.221732803,YXruHCZ,92,69,img/img12.png
10.1669373577,8,NaN,5.26764209638,,96,85,img/img15.png
26.0967631374,78,3.6370065123,75.0213577981,pSbVoIl,76,95,img/img10.png
79.22978143,26,9.49651193554,79.3476137748,yQLsQvB,17,56,img/img9.png
29.3357279967,7,98.0761796671,46.8260459767,dTSIzTx,93,13,img/img3.png
12.6070093521,41,68.301969749,52.8333438299,InxjibR,96,70,img/img5.png
93.1016766431,41,44.6434218363,80.7340084343,IIHChED,60,99,img/img2.png
47.8340577155,93,88.6264075899,92.0102883956,,43,32,img/img12.png
NaN,2,3.55917554234,,FnaOXFp,32,74,img/img16.png
17.0776008187,84,84.4432167969,,vhINVIn,86,35,img/img3.png
